date,net_gex,spot_price,forward_return_t1,forward_return_t3,prediction_correct,detected,realized_vol_t1,realized_vol_t3,realized_vol_rolling_3d,realized_vol_rolling_5d,gex_regime,gex_concentration,net_call_gex,net_put_gex,put_call_ratio,data_quality_score,options_count,n_concentrated_strikes
2024-04-18,-37880242987.90144,499.56,-0.9528,1.211,,True,0.9528,1.211,0.3765138819928607,0.5014887217076782,Negative,-0.8462970375108165,-13186275536.92258,-25381829806.858215,1.9248672406235672,100.0,8036.0,2.0
2024-04-19,-26704423914.116093,494.8,0.8852,1.8088,,True,0.8852,1.8088,0.9239839464694902,0.6880177846538568,Negative,-0.8225030842487201,-8625689221.20697,-18568960210.27721,2.1527508972412184,100.0,7858.0,2.0
2024-04-22,-29703704897.502583,499.17,1.2881,1.7148,,True,1.2881,1.7148,1.1945853687925925,0.9605502397063884,Negative,-0.8315841405932587,-11827279840.285168,-18485262417.258896,1.5629343912448763,100.0,7622.0,2.0
2024-04-23,-31767953682.15037,505.6,-0.3679,0.5577,,False,0.3679,0.5577,0.8636090955982344,0.927449374898706,Negative,-0.8350171183016462,-15475354726.312431,-17126340267.993397,1.1066848269961675,100.0,7554.0,0.0
2024-04-24,-32321858439.3675,503.71,0.792,1.2804,,False,0.792,1.2804,0.8498842293708796,0.9450239504901452,Negative,-0.8417640686644245,-14647275531.383272,-18499678932.983784,1.263011601942378,100.0,7488.0,0.0
2024-04-25,-32588431363.191998,507.71,0.1359,-1.0419,,True,0.1359,1.0419,0.5816140845383079,0.6575861335216856,Negative,-0.8377028318010398,-13874902109.95234,-19561874403.56129,1.4098747687401512,100.0,7564.0,0.0
2024-04-26,-29765457661.301804,508.43,0.3481,-1.4771,,False,0.3481,1.4771,0.3347992582628191,0.6318226713247953,Negative,-0.830564298420125,-14832295718.458292,-15722345876.800232,1.0600075790852999,100.0,7676.0,0.0
2024-04-29,-30786020211.415333,510.2,-1.519,-0.98,,True,1.519,0.98,1.0222349094019438,0.8852934637734545,Negative,-0.8364644327004831,-15465490442.078835,-16112463591.04171,1.0418333418772532,100.0,7740.0,0.0
2024-04-30,-29004261871.802227,502.47,-0.3045,1.8728,,False,0.3045,1.8728,0.9475371074527902,0.8813393812828295,Negative,-0.8303207996329813,-11176250942.238794,-18693628528.1326,1.6726206869141707,100.0,7744.0,2.0
2024-05-01,-29706754478.75534,500.85,0.8544,3.1262,,True,0.8544,3.1262,1.1868085369314352,0.8975882446868391,Negative,-0.8341702449859818,-10836682196.302883,-19613465612.34352,1.8099142576161351,100.0,7480.0,2.0
