date,pattern_type,detected,criterion_1_volatility_amplification,criterion_2_directional_followthrough,criterion_3_strike_convergence,criterion_4_range_expansion,realized_vol_t1,forecast_vol,price_change,distance_t,distance_t1,intraday_range,avg_5day_range
2024-10-01,gamma_positioning,False,True,True,False,True,1.417853751187078,0.7568717140331865,-5.139999999999986,,,8.062199999999962,4.330000000000018
2024-08-23,stock_pinning,False,True,True,False,False,1.0317897995125804,1.0251195353438731,5.909999999999968,,,5.800000000000068,5.7209999999999805
2024-06-28,stock_pinning,False,True,True,False,True,1.3468817757524396,0.5611876951778896,-2.1499999999999773,,,7.329999999999927,3.0560000000000174
2024-11-27,stock_pinning,False,False,True,False,False,0.5961625169079788,0.865695099033938,-1.8199999999999363,,,3.57000000000005,5.149499999999966
2024-05-30,stock_pinning,False,False,True,False,False,0.7405139587837976,0.7903221138939099,-3.490000000000009,,,3.870000000000005,4.171799999999985
2024-07-16,0dte_hedging,False,False,True,False,False,0.5417271536309786,0.7858656938982599,3.330000000000041,,,3.059999999999945,4.389439999999968
2024-06-25,gamma_positioning,False,False,True,False,False,0.5065800341390875,0.7587719771473577,2.090000000000032,,,2.759999999999991,4.142560000000003
2024-05-10,gamma_positioning,False,False,True,False,False,0.5846325167037784,0.6014252090624275,0.6700000000000728,,,3.044999999999959,3.104480000000001
2024-07-01,gamma_positioning,False,False,True,False,False,0.6161293871713085,0.7339634369328477,1.1200000000000043,,,3.3600000000000136,3.996000000000004
2024-06-20,gamma_positioning,False,True,True,False,False,0.903107861060339,0.7098917724250845,-1.490000000000009,,,4.940000000000055,3.865559999999982
2024-07-26,gamma_positioning,False,False,True,False,False,1.0469473220189636,1.202776888389605,6.030000000000086,,,5.7000000000000455,6.55300000000002
2024-02-01,stock_pinning,False,True,True,False,True,1.109975470155357,0.7173386548354165,6.319999999999993,,,5.430000000000007,3.494259999999997
2024-04-08,stock_pinning,False,False,True,False,False,0.4414713140036944,1.0346992945384683,0.2900000000000773,,,2.289999999999964,5.347480000000019
2024-11-14,stock_pinning,False,True,True,False,True,0.8696384933007445,0.6524908964729462,-3.840000000000032,,,5.159999999999968,3.897019999999975
2024-09-06,gamma_positioning,False,True,True,False,True,2.250351617440219,1.316893266235588,-9.25,,,12.159999999999968,7.3058999999999745
2024-07-10,stock_pinning,False,,,,,,,,,,,
2024-05-24,0dte_hedging,False,False,True,False,False,0.6401103052281675,0.7257054694825315,3.480000000000018,,,3.38900000000001,3.834019999999987
2024-01-09,stock_pinning,False,False,True,False,False,0.7554655186967132,0.873958934844414,-0.7200000000000273,,,3.579999999999984,4.1139999999999874
2024-07-23,gamma_positioning,False,False,True,False,False,0.6247968507349555,0.9553771393169193,-0.8700000000000045,,,3.4600000000000364,5.294000000000006
