day,feature_version,ticker,_computed_at,atr_14,call_gex,day_of_week,gamma_flip,gex_n_strikes,month,net_gex,price_vs_sma_21,price_vs_sma_5,put_gex,realized_vol_21d,realized_vol_5d,relative_volume,ret_1d,ret_21d,ret_5d,rsi_14,sma_21,sma_5,spot,target_directional_move,target_return_pct,total_dex,total_vega,total_vex
2024-08-09,v2.0_gex,SPY,2026-05-18T09:14:44.626816+00:00,11.008366285714285,17783359.49,4.0,,8676,8.0,-22772711.34,-0.019276581479401034,0.01644658499525109,-40556070.82,0.2090506256264668,0.31192904160099255,0.7379509399517025,0.0044097530439473065,-0.042211707835744794,0.00016898462746306464,37.990709305710574,532.2657572380953,513.559198,522.005493,1,0.0005253412151354241,-443874341530.26,841337143.27,-34914714.4
2024-08-12,v2.0_gex,SPY,2026-05-18T09:14:44.627245+00:00,11.10070935714285,16960041.85,0.0,,8656,8.0,-25099159.38,-0.01645866306007071,0.01085410256486563,-42059201.23,0.20709733823068513,0.17536384366267146,0.693802887976797,0.0005253412151353665,-0.047715226705898006,0.030712581017070084,38.55345208583009,531.0195966190475,516.6717162,522.279724,1,0.016445775329390334,-453675587816.36,817407699.35,-57877828.77
2024-08-13,v2.0_gex,SPY,2026-05-18T09:14:44.627671+00:00,10.787308499999995,21683750.49,1.0,,8603,8.0,-14115393.84,0.0014306256382163873,0.019788552904418166,-35799144.33,0.21640791752203675,0.1900770796054835,0.8457637168826041,0.01644577532939029,-0.03470872329631047,0.03809254051176958,50.47202492657982,530.1106291428572,520.5677367999999,530.869019,1,0.0031544899778753184,-473659438301.42,809625480.99,-799244364.28
2024-08-14,v2.0_gex,SPY,2026-05-18T09:14:44.628104+00:00,10.425634642857144,20834898.64,2.0,,8492,8.0,-19260533.45,0.006458827219258723,0.013437803402220228,-40095432.08,0.21539542391578886,0.1530076256372801,0.6828531026638847,0.0031544899778752633,-0.037372183353160726,0.04837458716423293,53.15224384045182,529.126105904762,525.4823119999999,532.54364,1,0.017140362431142857,-506894632849.84,824682093.5,-904859470.74
2024-08-15,v2.0_gex,SPY,2026-05-18T09:14:44.628535+00:00,10.483708142857145,25751394.91,3.0,,8360,8.0,-6072516.96,0.02405921208386852,0.022265164539768456,-31823911.87,0.21991712784210896,0.12346935220248655,0.9760691779435952,0.017140362431142808,-0.0069487582958907,0.042250084375303976,54.9039893289608,528.9456162380952,529.8739014,541.671631,1,0.0022418656073202306,-526790509410.48,805781855.57,-1629998589.99
2024-08-16,v2.0_gex,SPY,2026-05-18T09:14:44.628973+00:00,10.44383242857143,23325863.52,4.0,,8348,8.0,-14367951.92,0.02620573455000974,0.016545241082295714,-37693815.44,0.21840490478168498,0.12858967186393633,0.7192364248894141,0.0022418656073202037,0.0029852819777376194,0.040000523519395204,55.37053790386379,529.0225611904762,534.05,542.885986,1,0.009561484609772148,-586335072579.15,824810562.88,-1583432116.46
2024-08-19,v2.0_gex,SPY,2026-05-18T09:14:44.629405+00:00,10.229065428571428,23188995.76,0.0,,8115,8.0,-11631016.34,0.035048731862946436,0.016445132835659626,-34820012.1,0.21924276797922534,0.1109867272104417,0.6464459892835215,0.009561484609772242,0.0193446045509007,0.04939318302925355,59.6281618872893,529.5178527619048,539.2094116000001,548.076782,0,-0.001626002102749133,-647326061626.41,799944673.76,-1992238795.75
2024-08-20,v2.0_gex,SPY,2026-05-18T09:14:44.629844+00:00,9.670114714285717,20518388.23,1.0,,7840,8.0,-13649027.24,0.032997267292933286,0.008687770545097395,-34167415.47,0.21671086590726082,0.11602633926793332,0.561639126292993,-0.0016260021027491023,0.007301826985043114,0.03073562105909966,54.721733103616884,529.7067333333334,542.4727294,547.185608,1,0.0034364408941105927,-531078055812.1,803484886.65,-1673492850.39
2024-08-21,v2.0_gex,SPY,2026-05-18T09:14:44.630275+00:00,9.106265500000006,22479029.81,2.0,,7861,8.0,-9804239.53,0.03592324995272289,0.006025868828658298,-32283269.34,0.2168459691575608,0.11559942645982554,0.6873578905415682,0.0034364408941105484,0.012351369000316303,0.0310253240466829,61.33632505658554,530.0257321428571,545.7771972,549.065979,0,-0.007848355507016366,-533714283457.59,809539382.41,-1677068228.07
2024-08-22,v2.0_gex,SPY,2026-05-18T09:14:44.630691+00:00,8.67182657142858,19588557.24,3.0,,7852,8.0,-14807398.24,0.026439091309125695,-0.0029969200965941356,-34395955.48,0.20205458233904378,0.10214715351623609,0.9428783871235882,-0.007848355507016347,0.027696219865594562,0.005695485647465803,66.2034711006528,530.7248317142856,546.3942138,544.756714,1,0.010625196259627892,-528678336876.37,824725960.82,-1294363507.25
